original,encrypted
192.168.9.7,196.183.246.24
192.168.121.80,196.183.184.110
192.168.121.41,196.183.184.46
192.168.121.38,196.183.184.38
192.168.121.44,196.183.184.42
192.168.121.45,196.183.184.43
192.168.140.102,196.183.115.166
192.168.9.73,196.183.246.72
192.168.6.32,196.183.250.46
192.168.6.30,196.183.250.30
192.168.6.33,196.183.250.47
192.168.140.101,196.183.115.165
192.168.85.1,196.183.151.108
192.168.121.42,196.183.184.45
192.168.198.121,196.183.54.58
192.168.198.122,196.183.54.57
192.168.6.19,196.183.250.16
192.168.9.94,196.183.246.94
192.168.6.21,196.183.250.21
192.168.6.23,196.183.250.23
192.168.9.18,196.183.246.14
192.168.6.14,196.183.250.1
192.168.6.10,196.183.250.5
192.168.6.28,196.183.250.29
192.168.6.27,196.183.250.24
192.168.6.24,196.183.250.26
192.168.121.54,196.183.184.54
192.168.121.46,196.183.184.41
192.168.2.40,196.183.253.167
192.168.2.26,196.183.253.157
192.168.2.39,196.183.253.168
192.168.9.31,196.183.246.7
192.168.121.47,196.183.184.40
192.168.197.55,196.183.53.200
192.168.111.150,196.183.163.150
192.168.6.31,196.183.250.31
192.168.6.34,196.183.250.45
192.168.6.35,196.183.250.44
192.168.121.35,196.183.184.35
192.168.1.235,196.183.255.227
10.252.2.5,53.30.5.234
192.168.224.1,196.183.30.99
192.168.8.1,196.183.247.254
192.168.2.1,196.183.253.140
192.168.6.17,196.183.250.18
192.168.9.42,196.183.246.41
192.168.9.19,196.183.246.15
192.168.6.40,196.183.250.32
192.168.6.41,196.183.250.33
192.168.237.10,196.183.19.141
192.168.6.45,196.183.250.37
192.168.6.46,196.183.250.38
192.168.6.47,196.183.250.39
192.168.6.42,196.183.250.34
192.168.6.44,196.183.250.36
192.168.6.43,196.183.250.35
192.168.199.37,196.183.55.219
192.168.120.32,196.183.185.211
46.37.10.149,14.121.245.116
172.19.245.85,178.92.209.148
192.168.121.71,196.183.184.119
192.168.6.26,196.183.250.25
192.168.86.1,196.183.149.242
192.168.238.1,196.183.17.225
192.168.140.107,196.183.115.175
192.168.6.13,196.183.250.3
192.168.121.49,196.183.184.49
192.168.121.57,196.183.184.58
192.168.121.55,196.183.184.55
192.168.121.60,196.183.184.61
192.168.121.61,196.183.184.60
192.168.121.51,196.183.184.51
192.168.121.64,196.183.184.112
192.168.121.65,196.183.184.113
192.168.121.52,196.183.184.53
192.168.121.66,196.183.184.114
192.168.121.69,196.183.184.116
10.11.250.130,53.244.165.114
172.18.208.1,178.93.47.243
10.252.2.4,53.30.5.235
192.168.1.51,196.183.255.51
10.252.2.3,53.30.5.236
172.16.201.10,178.94.134.26
10.252.2.2,53.30.5.237
192.168.6.12,196.183.250.2
192.168.121.250,196.183.184.197
192.168.111.102,196.183.163.102
10.252.2.18,53.30.5.242
172.28.144.1,178.80.233.147
192.168.197.56,196.183.53.194
192.168.197.57,196.183.53.195
192.168.121.63,196.183.184.63
192.168.121.150,196.183.184.150
192.168.4.11,196.183.249.228
192.168.9.5,196.183.246.26
192.168.6.29,196.183.250.28
192.168.147.32,196.183.108.161
192.168.1.6,196.183.255.25
169.254.73.105,183.6.121.82
172.16.201.27,178.94.134.4
