src_ip,dst_ip,dst_port,src_port,dst_diversity,src_diversity,udp_ratio,tcp_ratio,http_ratio,ssh_ratio,smtp_ratio,bytes,packets,avg_duration
192.168.197.50,0.00030921459492888067,0.0009836065573770492,0.0771224307417337,0.004135810365527789,0.9158923732094464,0.9957582184517497,0.0042417815482502655,0.0,0.0,0.0,4.892628160979194e-05,0.0002500809585186548,1.4751339411081854e-07
192.168.147.102,0.0,0.0,0.026630920464700624,0.00322726547118608,0.9966534391534392,0.5333333333333333,0.4666666666666667,0.0,0.0,0.0,1.7963021734353318e-05,0.00016336441074847204,1.4976121725917388e-07
192.168.121.13,0.00927643784786642,0.0029508196721311475,0.009830205540661306,0.08999325510792545,1.0,0.2882882882882883,0.7117117117117117,0.34234234234234234,0.0,0.0,0.00013388997542940553,0.0002236506609399344,7.690440886281904e-06
192.168.198.73,0.00030921459492888067,0.0006557377049180328,0.2771224307417337,0.0007875938641977806,0.9240143216603288,0.0,1.0,0.0,0.0,0.0,0.004210024054345341,0.017768711486494056,4.3895470012416015e-07
192.168.6.22,0.0,0.0,0.028328865058087578,0.002878969702119954,0.9490523572613125,1.0,0.0,0.0,0.0,0.0,1.520767658380363e-05,8.86044261686628e-05,4.1266007051896365e-08
192.168.147.223,0.00463821892393321,0.0003278688524590164,0.9673815907059875,3.954636943650605e-05,0.7892128244423362,1.0,0.0,0.0,0.0,0.0,0.002838340814346913,0.003713205092690424,1.0168460376750867e-06
192.168.120.72,0.00030921459492888067,0.0,0.02225201072386059,0.0027757284696260836,0.7193518137322171,1.0,0.0,0.0,0.0,0.0,2.0799831056644558e-05,9.451977848390024e-05,4.9798675657007505e-08
192.168.2.221,0.0,0.0,0.019213583556747096,0.0045236997227099925,1.0,0.0,1.0,0.0,0.0,0.0,0.008643715210551444,0.007064440967112277,1.5884129106201376e-05
192.168.198.120,0.0,0.0003278688524590164,0.08498659517426274,0.0019793050759309744,0.9926717645695748,0.0,1.0,0.12408759124087591,0.0,0.0,0.0036544935718424948,0.005098781978614869,3.829920597790657e-06
192.168.2.112,0.0,0.0,0.00741733690795353,0.011799606236364604,1.0,0.0,1.0,0.0,0.0,0.0,0.00011413319512866705,0.00032295306469998404,7.397545841538315e-05
192.168.6.11,0.0,0.0,0.019481680071492403,0.004026248563624666,0.9045815295815296,1.0,0.0,0.0,0.0,0.0,9.983485806529496e-06,6.267756282953704e-05,1.1067858554595655e-07
192.168.4.18,0.0,0.0,0.04548704200178731,0.001824284775383589,0.9844946987804131,1.0,0.0,0.0,0.0,0.0,2.369369967222313e-05,0.0001345428005316769,5.003901675573823e-08
192.168.2.231,0.0,0.0003278688524590164,0.016175156389633603,0.008024523921075959,0.73880500709769,0.2682926829268293,0.7317073170731707,0.0,0.0,0.0,0.0003626991164343342,0.0006087778542298608,4.214668403166244e-07
192.168.2.226,0.0,0.0003278688524590164,0.023324396782841823,0.007527977568389724,1.0,0.0,1.0,0.0,0.08396946564885496,0.0,0.009681800604884125,0.007537669152331272,1.3121694439391947e-05
