src_ip,dst_ip,dst_port,src_port,dst_diversity,src_diversity,udp_ratio,tcp_ratio,http_ratio,ssh_ratio,smtp_ratio,bytes,packets,avg_duration
192.168.198.73,0.0008438818565400844,0.001366120218579235,0.21677279501422572,0.0017974835230677051,0.9586578789694428,0.0,1.0,0.0,0.0,0.0,0.0014538524977903795,0.0015398734671990745,2.76874263785242e-06
192.168.6.38,0.0004219409282700422,0.0004553734061930783,0.044709388971684055,0.0029850746268656717,0.9850746268656716,1.0,0.0,0.0,0.0,0.0,1.7162667631559394e-05,1.4777296574954703e-05,4.264532913090952e-07
192.168.198.120,0.0004219409282700422,0.0009107468123861566,0.06435442351984826,0.0041753653444676405,0.9916492693110647,0.0,1.0,0.12317327766179541,0.0,0.0,0.006019957612567504,0.0013638653097795246,0.00014594759518902215
192.168.2.111,0.0004219409282700422,0.0004553734061930783,0.004470938897168405,0.030303030303030304,1.0,0.0,1.0,0.0,0.0,0.0,3.581027380692524e-05,2.5222558290882508e-05,0.0006094106998532419
192.168.197.50,0.002109704641350211,0.0018214936247723133,0.1182766562796369,0.004347826086956522,0.9489130434782609,0.991304347826087,0.008695652173913044,0.0,0.0,0.0,3.677793142977324e-05,5.059904675442079e-05,2.4069116468722575e-06
192.168.147.102,0.0004219409282700422,0.0004553734061930783,0.016935374610486383,0.008,1.0,0.512,0.488,0.0,0.0,0.0,5.295127835502941e-06,1.2204463689136697e-05,3.516599448333462e-07
192.168.120.67,0.0008438818565400844,0.0004553734061930783,0.014632163663460237,0.006802721088435374,0.7346938775510204,1.0,0.0,0.0,0.0,0.0,6.7446394582997425e-06,7.454618361472685e-06,3.364093860012878e-07
192.168.2.231,0.0004219409282700422,0.0009107468123861566,0.012464435713317979,0.015873015873015872,0.7301587301587301,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.00012671778777193055,5.345774996088524e-05,1.875170836784956e-06
192.168.2.112,0.0004219409282700422,0.0004553734061930783,0.00636770085354288,0.02127659574468085,1.0,0.0,1.0,0.0,0.0,0.0,4.061876022072132e-05,2.9356682927923405e-05,0.00041362130479400886
192.168.199.12,0.0016877637130801688,0.002276867030965392,0.025064354423519848,0.026737967914438502,0.9893048128342246,0.3048128342245989,0.6951871657754011,0.0,0.0,0.0,0.0001119719303293841,5.7987695041898146e-05,0.0002227551839723928
192.168.119.51,0.0008438818565400844,0.001366120218579235,0.007451564828614009,0.05454545454545454,1.0,0.07272727272727272,0.9272727272727272,0.0,0.0,0.0,4.060750977958988e-05,2.1594204221139166e-05,0.0004707447897882748
192.168.2.226,0.0004219409282700422,0.0009107468123861566,0.017070857607370274,0.015873015873015872,1.0,0.0,1.0,0.0,0.0873015873015873,0.0,0.0033712132362960397,0.0006443297127124223,8.708642235022225e-05
192.168.119.50,0.0008438818565400844,0.0009107468123861566,0.01259991871020187,0.02127659574468085,0.9893617021276596,0.19148936170212766,0.8085106382978723,0.0,0.0,0.0,5.673896676446301e-05,3.357876766362475e-05,0.00022668505087495287
