row_0,0,1,2,3,4,5
192.168.121.11,18,36,12,10,2,9
192.168.121.21,40,35,23,20,6,19
192.168.121.22,17,61,5,3,5,4
192.168.121.44,0,1,2,0,2,1
192.168.121.45,0,0,2,0,0,1
192.168.121.47,6,18,2,1,6,11
192.168.121.48,1,22,16,0,3,1
192.168.121.6,4,6,22,3,13,9
192.168.121.76,1,46,48,7,14,33
192.168.121.80,5,2,6,5,3,3
