row_0,0,1,2,3,4



192.168.121.47,51,1,0,0,1
192.168.121.76,121,0,9,18,4
192.168.121.80,28,0,1,1,2


192.168.121.6,62,0,0,4,0
192.168.121.21,137,1,1,4,3
192.168.121.48,34,0,0,4,1
192.168.121.45,3,0,0,0,0
